"# Resulting classification from model file : model-20170307-012530.pkl"
"Cours anglais orienté business","anglais cours particuliers"
"Île Houat","cours maths particuliers"
"ENSEIGNANT COURS D'ALLEMAND","cours maths particuliers"
"ENSEIGNANT COURS D'ANGLAIS","anglais cours particuliers"
"cours d'anglais par étudiante HEC","anglais cours particuliers"
"cours de français par étudiante HEC","français cours étrangers"
"cours de philosophie par étudiante HEC","cours maths particuliers"
"concours paramédicaux- infirmier","cours maths particuliers"
"concours paramédicaux- KINE","cours maths particuliers"
"cours de CHIMIE","chimie cours collège"
"Cours de Mathématiques ","mathématiques cours particuliers"
"Cours de physique","physique cours particuliers"
"cours de SVT","cours maths particuliers"
"Élève ingénieur - cours de Maths","cours maths particuliers"
"Professeur donne cours de chimie","chimie cours collège"
"Professeur donne cours de Maths","professeur expérimenté donne"
"Professeur donne cours de physique","professeur expérimenté donne"
"Apprendre à  utiliser les périphériques","cours maths particuliers"
"Formation Informatique-ACCESS","informatique formation initiation"
"Formation Informatique-EXCEL","informatique formation initiation"
"Formation Informatique-Internet","informatique formation initiation"
"Formation Informatique-PowerPoint","informatique formation initiation"
"Formation Informatique-WORD","informatique formation initiation"
"Formation Outlook","cours maths particuliers"
"Formation Photos/Vidéos/Trucage/Retouche","cours maths particuliers"
"Formation Programmeur","cours maths particuliers"
"Formation Publisher","cours maths particuliers"
"Formation transfert de films et vidéos","cours maths particuliers"
"Formation Webmaster","cours maths particuliers"
"Formation Windows XP/Vista/7/8","cours maths particuliers"
"Initiation à l'informatique","informatique formation initiation"
"Installation internet","cours maths particuliers"
"Installation Réseau local","cours maths particuliers"
"Installation,Dépannage INFORMATIQUE","informatique formation initiation"
"Nettoyage de disque dur","cours maths particuliers"
"Récupération de données","cours maths particuliers"
"Sauvegarde de données","cours maths particuliers"
"Sécuriser son ordinateur","cours maths particuliers"
"APPRENDRE L'ESPAGNOL FACILEMENT ","espagnol cours particuliers"
"Donne cours d'histoire géographie","histoire géographie cours"
"Donne cours de français ","français cours étrangers"
"Donne cours de langue","cours maths particuliers"
"Soutien scolaire et prépare au BAC","scolaire soutien maths"
"APPRENDRE L'ANGLAIS FACILEMENT ","anglais cours particuliers"
"APPRENDRE LE FRANÇAIS FACILEMENT","français cours étrangers"
"Audit et Conseil en organisation ","cours maths particuliers"
"Coaching personnel","cours maths particuliers"
"Conseil aux entreprises TPE-PME","cours maths particuliers"
"Conseil et  Coaching en entreprises ","cours maths particuliers"
"Cours particuliers d'anglais","anglais cours particuliers"
"Cours particuliers d'espagnol","espagnol cours particuliers"
"Cours particuliers d'italien","cours maths particuliers"
"Cours particuliers de biologie","cours maths particuliers"
"Cours particuliers de chimie","chimie cours collège"
"Cours particuliers de maths","cours maths particuliers"
"Cours particuliers de physique","physique cours particuliers"
"Cours de mathématiques","mathématiques cours particuliers"
" Cours particuliers d'Espagnol","espagnol cours particuliers"
"Cours d'informatique-lycée pro","informatique formation initiation"
"Cours d'organisation-lycée pro","cours maths particuliers"
"Cours de communication","cours maths particuliers"
"Cours de gestion administration","cours maths particuliers"
"Cours particuliers de français","français cours étrangers"
"Cours particuliers de mathématiques","mathématiques cours particuliers"
"Cours particuliers de secrétariat","cours maths particuliers"
"Cours particuliers de SVT","cours maths particuliers"
"AIDE A L'ORIENTATION","aide devoirs soutien"
"Cours d'anglais","anglais cours particuliers"
"Cours d'économie","cours maths particuliers"
"Cours d'histoire - géographie","histoire géographie cours"
"cours de CHIMIE","chimie cours collège"
"COURS DE COMMERCE INTERNATIONAL","cours maths particuliers"
"COURS DE DROIT","cours maths particuliers"
"Cours de français","français cours étrangers"
"COURS DE GEOPOLITIQUE","cours maths particuliers"
"COURS DE GESTION CLIENTS","cours maths particuliers"
"COURS DE MANAGEMENT","cours maths particuliers"
"Cours de Mathématiques ","mathématiques cours particuliers"
"COURS DE MICRO/MACRO ECONOMIE","cours maths particuliers"
"Cours de Philosophie ","cours maths particuliers"
"Cours de physique","physique cours particuliers"
"cours de SVT","cours maths particuliers"
"COURS DE VENTE","cours maths particuliers"
"CULTURE GENERALE","cours maths particuliers"
"Etudiant BAC+5 donne  cours particuliers","cours maths particuliers"
"PRÉPARATION AUX CONCOURS","cours maths particuliers"
"Cours de chimie -COLLÈGE AU LYCEE","chimie cours collège"
"Cours de maths - collège au lycée","lycée collège maths"
"Cours de physique-COLLÈGE AU LYCEE","physique cours particuliers"
"Aide aux devoirs","aide devoirs soutien"
"Cours de Mathématiques ","mathématiques cours particuliers"
"Professeure de sciences","cours maths particuliers"
"Aide aux devoirs","aide devoirs soutien"
"PRÉPARATION AU BREVET","cours maths particuliers"
"Soutien en français","français cours étrangers"
"SOUTIEN SCOLAIRE EN ANGLAIS","scolaire soutien maths"
"SOUTIEN SCOLAIRE EN CHIMIE","scolaire soutien maths"
"Soutien scolaire en mathématiques","scolaire soutien maths"
"SOUTIEN SCOLAIRE EN PHYSIQUE","scolaire soutien maths"
"Cours d'anglais","anglais cours particuliers"
" AIDES AUX DEVOIRS A DOMICILE","piano domicile cours"
"Cours de chimie - Tous niveaux","niveaux cours maths"
"Cours de Electronique - Tous niveaux","niveaux cours maths"
"Cours de Electrotechnique - Tous niveaux","niveaux cours maths"
"Cours de Maths - Tous niveaux","niveaux cours maths"
"Cours de Mécanique - Tous niveaux","niveaux cours maths"
"Cours de physique - Tous niveaux","niveaux cours maths"
"Aide aux devoirs - Primaire au lycée","aide devoirs soutien"
"Cours d'histoire - géographie","histoire géographie cours"
"Cours de sciences politiques","cours maths particuliers"
"Professeur expérimenté - cours en SES","professeur expérimenté donne"
"COURS PARTICULIERS MATHÉMATIQUES","mathématiques cours particuliers"
"COURS PARTICULIERS PHYSIQUES","cours maths particuliers"
"Cours d'anglais - Niveau Collège","anglais cours particuliers"
"Cours d'initiation à l'informatique","informatique formation initiation"
"Cours de français niveau collège","français cours étrangers"
"Cours de maths -Collège","lycée collège maths"
"Ingénieur propose cours/soutien primaire","cours maths particuliers"
"Cours particuliers de mathématiques","mathématiques cours particuliers"
"PROFESSEUR MATHS EXPÉRIMENTÉ","professeur expérimenté donne"
"Cours d'Arabe - adultes et les enfants","cours maths particuliers"
"Plat à emporter ou a livrer à domicile","cours maths particuliers"
"Pour élèves en difficulté, DYS-PRECOCE","cours maths particuliers"
"Soutien scolaire jsuqu'au niveau Collège","scolaire soutien maths"
"Cours et soutien scolaire Anglais","scolaire soutien maths"
"Cours et soutien scolaire Français","scolaire soutien maths"
"Professeur d'informatique","informatique formation initiation"
"Professeur de mathématiques","mathématiques cours particuliers"
"Cours d'anglais ","anglais cours particuliers"
"Cours d'espagnol - enfants  et adultes","espagnol cours particuliers"
"Cours de MATHS","cours maths particuliers"
"Cours de Culture Générale","cours maths particuliers"
"Cours de Français","français cours étrangers"
"Cours de Philosophie ","cours maths particuliers"
"Soutien  Physique Collège Lycée","lycée collège maths"
"Soutien Maths - Collège & Lycée","lycée collège maths"
"Soutien scolaire - Anglais","scolaire soutien maths"
"Soutien scolaire Français","scolaire soutien maths"
"Soutien scolaire Maths","scolaire soutien maths"
"Cours de chimie-Collège & Lycée","chimie cours collège"
"Cours de maths - collège au lycée","lycée collège maths"
"Cours de physique-Collège & Lycée","lycée collège maths"
"Cours d'anglais - élèves et adultes","anglais cours particuliers"
"Cours de physique","physique cours particuliers"
"Cours particulier de Chimie","chimie cours collège"
"Cours particulier de Physique","physique cours particuliers"
"Cours particuliers de mathématiques","mathématiques cours particuliers"
"Professeur des écoles - Français","français cours étrangers"
"Professeur des écoles - Mathématiques","mathématiques cours particuliers"
"Cours d'arabe littéraire","cours maths particuliers"
"Cours particuliers Comptabilité","cours maths particuliers"
"Cours particuliers gestion","cours maths particuliers"
"Donne Cours & Aides aux devoirs - Tout niveaux","niveaux cours maths"
"Donne Cours & Suivi des devoirs - Tout niveaux","niveaux cours maths"
"Donne Cours de maths - Tout niveaux","niveaux cours maths"
"Cours / coaching linguistique en Anglais","anglais cours particuliers"
"cours d'échecs","cours maths particuliers"
"Cours maths physique chimie tous niveaux","niveaux cours maths"
"Cours de Saxophone tous niveaux","niveaux cours maths"
"Cours de flûte à domicile","piano domicile cours"
"Cours de piano à domicile","piano domicile cours"
