id,idm,pseudo,type,ids,sid,titre,description,prix,unite,negociable,date_enregistrement,lat,lng,ville ,disponibilité,rayon
1000,888,gaston,a proposer,2,7,Cours de Saxophone tous niveaux,"Bonjour,

Je suis professeur de Saxophone diplômé d’Etat en pédagogie,titulaire d’un premier prix à l’unanimité, enseignant en conservatoire et ayant une grande expérience de cours et de concerts.

Je dispose de plusieurs saxophones pour les débutants n’ayant pas encore effectué l’achat de leur instrument.

types d’instruments: saxophone alto, soprano et ténor
styles abordés : improvisation, phrasé jazz, classique, musique traditionnelle

Chèques emploi acceptés

N’hésitez pas à me contacter!

William: O6-61-54-94-55
willsax.over-blog

Avis d’élèves à consulter sur:

coursavenue/etablissements/william-hountondji

Julien K
’Best teacher ever’
’Je suis ce cours depuis Février 2013.
Pour avoir eu 3 autres professeurs de saxophone, je dois avouer que celui-ci est une perle. Après un premier cours pour cerner le type de jeu et le niveau, il nous guide vers une pratique musicale riche et assaisonnée de notions théoriques nécessaires. On balance entre l’improvisation et la connaissance d’airs connus, c’est formidable.
Et en plus, il nous propose de venir le voir en concert régulièrement et organise des pots entre ses différents élèves pour que l’on apprenne à se connaitre… Parfait !’
Teddy M.
’Professeur avec une très bonne pédagogie--- Cours de saxophone tenor (jazz)
J’ai vraiment apprécié les cours de William qui se passent dans ma bonne humeur et sans prise de tête. Les morceaux choisis par William (au début) sont adaptés au niveau et montent en difficultés progressivement ce qui permet de commencer à tripper assez rapidement. Au bout d’un an et demi j’ai pu joué dans un atelier et ce que j’ai appris avec William me sert quand je dois déchiffrer une nouvelle grille ou en jam. A recommander sans hésitation!’",35,heure,N,2017-01 18:44:37,48.8818439,2.4178504,Les Lilas (93260),O,19
1002,889,eglantine,a proposer,2,15,cours d'échecs,"Étudiant , en stage de qualification, je suis aussi certifié avec une bonne expérience de formation et d'entraînement des enfants aussi cours d'echecs élo rapide 2380.
je propose des cours particuliers d'échecs, merci de m'avoir contacter. ",,,,2017-01 18:44:37,48.8690448,2.4405824,Montreuil (93100),O,22
1001,889,eglantine,a proposer,2,13,Cours maths physique chimie tous niveaux,"Bonjour,

Je suis un jeune diplômé d'un Master mathématiques.

Dès mon début au master, j'ai voulu transmettre mes connaissances et mes méthodes acquis aux élèves ayant besoin d'un petit coup de pouce (ou d'une aide suivie) pour progresser et réussir au lycée ou dans le supérieur. Pour cela, j'ai donné d'une part des cours particuliers pour les étudiant universitaire dans les matière mathématiques, mais aussi pour des élèves de lycée, collège et Terminale mes connaissances et ma méthodologie ont permis à mes élèves de s'améliorer.

Un cours particulier nécessite selon moi une entente réciproque entre l'élève et le professeur permettant une relation de confiance et un travail détendu mais efficace. Un suivi régulier est de plus primordial afin de voir la progression et de cibler les points de difficultés de l'élève.

Ma méthodologie de travail est de m'invertir de plus auprès de mon élève, avec un suivi régulier, en utilisant une méthode de compréhension efficace qui consiste à enseigner les bases du cours, ensuite donner des exercices de niveau de difficultés progressive. Parfois, je pose à mon élève des questions à propos du cours, pour le tester et voir s'il a bien assimilé les concepts du cours. Je donne toujours un premier cours gratuit à mes élèves.

Vous pouvez me contacter pour avoir plus de précisions ou me posez la moindre question je suis disponible tous les jours.

Le prix sera à discuter selon le niveau

Dans l'attente de votre réponse, Cordialement,",,,,2017-01 18:44:37,48.8690448,2.4405824,Montreuil (93100),O,33
1012,890,mimi,cherche,2,13,SOUTIEN SCOLAIRE ET AIDES AUX DEVOIRS,Je cherche soutien scolaire,25,heure,negociable,2016-10-08 18:13:09,43.2876,5.38087,MARSEILLE(13006),N,21
1003,890,mimi,a proposer,2,13,Cours particuliers de maths et/ou français,Je suis étudiante sn deuxième année de licence biologie et je propose de donner des cours particuliers de maths et/ou de français à mon domicile (à Villemomble). 8 à 10€ de l'heure. Pour plus de renseignements merci de bien vouloir me contacter au 07-,13,heure,negociable,2017-01 18:44:37,48.885903,2.500880,Villemomble (93250),O,38
1013,891,roger,cherche,2,10,cours français,Je cherche professeur français pour mon fils qui prépare le brevet des colleges,15.00,par heure,NULL,2016-10-09 11:43:19,44.5333,0.766667,MONFLANQUIN(47150),N,1
1004,891,roger,a proposer,2,15,Mercatique / Economie / Droit / Maths,"Je donne des cours de mercatique, mathématiques, éco-droit pour les lycéen(ne)s qui sont en filière générale ou professionnelle. 

Voud pouvez m'appeler pour discuter tarif et réservation.",15,heure,negociable,2017-01 18:44:37,48.8707105,2.436047,Montreuil (93100),O,12
1005,892,simone,a proposer,2,13,cours particuliers maths/physique,"Bonjour,
Étant actuellement étudiant en école d'ingénieur, je propose des cours particuliers en mathématiques/ physique.
Ayant eu un BAC Scientifique ( avec comme spécialité les mathématiques et les Sciences de l'Ingénieur) avec mention T.B, je pense pouvoir apporter de réels progrès chez les élèves en difficultés (méthodologie, comment bien entamer un exercice... ) et chez les élèves préparant leur BAC.
20 Euro(s)/H pour collégiens et lycéens (jusqu'en Terminale ).
N'hésitez pas à me contacter pour plus d'informations.",15,heure,negociable,2017-01 18:44:37,48.871653,2.441183,Montreuil (93100),O,6
1006,893,tutu,a proposer,2,15,Cours particulier IDF,"Bonjour,

Ex-étudiante en prépa économique et commerciale option scientifique, j’effectue désormais des études de droit. J’ai obtenu mon bac S avec mention bien et été admissible à Sciences Po Paris. Malgré mon cursus scientifique, j’ai une grande aisance dans les matières littéraires. 

Je vous propose des cours particuliers pour les matières telles que les maths, la SVT, l’histoire, la philosophie, l’anglais, le français et l’allemand pour les niveaux primaire (10€ l’heure), collège (15€ l’heure) et lycée (18€ l’heure). 

Je propose notamment une préparation au brevet des collèges et au baccalauréat général. 
",12,heure,negociable,2017-01 18:44:37,"48.872747

", 2.442666,Montreuil (93100),O,21
1007,894,serge47,a proposer,2,15,Cours de dessin,"Professeur donne cours de Peinture et de Dessin sur Montreuil proche Paris et Vincennes.
Peintre professionnel (Ecole Supérieure des Arts Décoratifs), longue expérience pédagogique. 

PROGRAMME: Travail en atelier et en extérieur. Développer l'imagination et prendre conscience de sa personnalité. Etude des problèmes de perspective, valeurs, volumes, plans, espace, lumière. 

Apprendre à agencer les éléments d'un tableau pour équilibrer la composition (figuratif ou abstrait), travail sur la couleur.

TECHNIQUES: chacun choisit librement sa technique: huile, aquarelle, acrylique, mixtes, pastels, encre de Chine, lavis, plume, fusain. 

NIVEAU: tous niveaux, débutants et avancés, les enfants à partir de 10 ans. Les élèves viennent de tous les horizons professionnels, le professeur s'adapte à chacun, novice comme professionnel.

Les honoraires se composent d'un tarif de base (5Euro(s)/heure), d'un forfait trimestriel (10 cours de 2 heures 30 par trimestre).

Le cours se déroule le mercredi a 10:00, à 14:00 et à 18:30

Vous êtes intéressé (e) ? Appelez moi afin d'évaluer vos connaissances, votre niveau, vos motivations et convenir d'un premier contact, vous donner aussi tous renseignements dont vous avez besoin",5,heure,,2017-01 18:44:37,"48.873461

",2.441185,Montreuil (93100),O,18
1008,895,tyty,a proposer,2,15,Peintre diplômée des Beaux-Arts Paris donne cours,"Peintre et dessinatrice professionnelle formation bac+6, diplômée de l'École Nationale Supérieure des Beaux-Arts de Paris en 2009, donne cours particuliers de DESSIN-PEINTURE/ARTS PLASTIQUES à domicile pour enfants, adolescents, lycéens et adultes de tous niveaux.

Propose un vrai apprentissage pour une maîtrise du dessin/arts plastiques rapide. Tous mes élèves passent leurs examens avec succès.

Prépare :
- le bac art-plastique

Prépare l'admission:
- lycées d'art (Renoir, Boulle, Maximilien Vox, L'initiative..)
- Diplôme des Métiers d'Art (DMA)
- Manaa (Boulle/Duperré/Estienne/O.de Serres/Ste Geneviève)
- dans les prépas art (Atelier de Sèvres, Prépart, Les Arcades, Glacière Genevilliers..)
- aux grandes écoles d'art (Beaux-Arts Paris et province, Art Déco Paris, Art Déco Strasbourg, Ensci, Epsaa, etc.)

par la réalisation d'un dossier personnel + entraînement à l'oral.

Enseigne la découverte des techniques, renforcement, carnet de croquis, portrait-paysage-animaux, morphologie, analyses d'œuvres, écritures graphiques contemporaines.

Cours Spéciaux de 2h pour les préparations d'écoles d'art.

Cours adapté au niveau et au choix de l'élève.
Paris, Montreuil, Vincennes, Bagnolet Intra muros

Progrès importants et résultats garantis.

Le tarif horaire est de 30 euros / heure; 35 euros pour certains arrondissements éloignés de mon habitation (est paris).",30,heure,negociable,2017-01 18:44:37,"48.873976

",2.438975,Montreuil (93100),O,42
1009,896,remy,a proposer,2,15,Cours soutien scolaire/aide aux devoirs,"Bonjour,
Actuellement en licence 1 de science pour l'ingénieur je souhaite donner des cours particuliers de mathématiques/physique/français, niveau primaire et collège !
je propose aussi mes services pour les personnes qui veulent apprendre la langue arabe.
Je propose également une aide aux devoirs pour les primaires et les collégiens. 
Tarifs :
15euros/heure 
N'hésitez pas à me contacter si vous êtes intéressés",15,heure,negociable,2017-01 18:44:37,"48.875021

",2.444708,Montreuil (93100),O,39
1010,897,poalo,cherche,2,6,cherche professeur de langue,"Bonjour,
Je cherche professeur de dessin pour préparer beaux-art.",10,heure,negociable,2017-01 18:44:37,"48.873976

",2.438975,Montreuil (93100),O,33
1011,898,robert,cherche,2,6,cherche professeur de langue,"Bonjour,
Je cherche professeur de dessin pour préparer beaux-art.",3,heure,negociable,2017-01 18:44:37,48.871653,2.441183,Montreuil (93100),O,24
