rzo,départ (pseudo),arrivée (pseudo),type
facebook,roger,mimi,en couple
facebook,roger,robert,ami
facebook,roger,poalo,ami
facebook,roger,remy,ami
facebook,roger,tyty,ami
facebook,roger,tutu,ami
facebook,roger,simone,ami
facebook,roger,gaby,ami
facebook,roger,pedro,ami
facebook,roger,gaston,ami
facebook,roger,robert0,ami
facebook,roger,robert1,ami
facebook,roger,robert2,ami
facebook,roger,robert3,ami
facebook,roger,robert4,ami
facebook,roger,robert5,ami
facebook,roger,robert6,ami
facebook,roger,robert7,ami
facebook,roger,robert8,ami
facebook,roger,robert9,ami
facebook,roger,camille,ami
facebook,roger,jerome,ami
facebook,roger,dany,ami
facebook,roger,dalida,ami
facebook,roger,jean,ami
facebook,roger,veronique,ami
facebook,roger,marcel,ami
facebook,mimi,roger,en couple
facebook,mimi,robert1,ami
facebook,mimi,robert2,ami
facebook,mimi,robert3,ami
facebook,mimi,robert4,ami
facebook,mimi,robert5,ami
facebook,mimi,robert6,ami
facebook,mimi,robert7,ami
facebook,mimi,camille,ami
facebook,mimi,jerome,ami
facebook,mimi,dany,ami
facebook,mimi,dalida,ami
facebook,mimi,camille,ami
facebook,mimi,jerome,ami
facebook,mimi,dany,ami
facebook,mimi,dalida,ami
facebook,mimi,veronique1,ami
facebook,mimi,valerie,ami
facebook,mimi,marcel2,ami
facebook,mimi,eric,ami
facebook,mimi,ercika,ami
facebook,mimi,fred,ami
facebook,mimi,philou,ami
facebook,mimi,gaston2,ami
facebook,robert,joe,en couple
facebook,joe,eglantine,en couple
facebook,robert,camille,ami
facebook,robert,jerome,ami
facebook,robert,dany,ami
facebook,robert,dalida,ami
facebook,robert,camille,ami
facebook,robert,jerome,ami
facebook,robert,dany,ami
facebook,robert,dalida,ami
facebook,robert,veronique1,ami
facebook,robert,valerie,ami
facebook,robert,marcel2,ami
facebook,robert,tyty,ami
facebook,robert,kil,ami
facebook,eglantine,jerome,ami
facebook,eglantine,dany,ami
facebook,eglantine,dalida,ami
facebook,eglantine,camille,ami
facebook,eglantine,jerome,ami
facebook,eglantine,dany,ami
facebook,eglantine,jerome,ami
facebook,eglantine,dany,ami
facebook,eglantine,dalida,ami
facebook,eglantine,camille,ami
facebook,eglantine,jerome,ami
facebook,eglantine,dany,ami
facebook,eglantine,tyh,ami
facebook,eglantine,tyh1,ami
facebook,eglantine,tyh2,ami
facebook,eglantine,tyh3,ami
facebook,eglantine,tyh4,ami
facebook,eglantine,tyh5,ami
facebook,eglantine,tyh6,ami
