rzo,départ (pseudo),arrivée (pseudo),type
google+,roger,bertrand,ami
google+,roger,perez,ami
google+,roger,aurelie,ami
google+,roger,didier,ami
google+,roger,mimi,ami
google+,roger,monkey kind260,ami
google+,roger,david,ami
google+,roger,daniel,ami
google+,roger,jacques,ami
google+,roger,yann,ami
google+,roger,mypersonalbusiness,ami
google+,roger,moustapha,ami
google+,roger,stephane,ami
google+,roger,edouard,ami
google+,roger,komlagan,ami
google+,roger,julien,ami
google+,roger,dimitri,ami
google+,roger,maxime,ami
google+,roger,damien,ami
google+,roger,tyty,ami
google+,roger,tutu,ami
google+,roger,simone,ami
google+,roger,gaby,ami
google+,roger,pedro,ami
google+,roger,gaston,ami
google+,roger,robert0,ami
google+,roger,robert1,ami
google+,roger,robert2,ami
google+,roger,robert3,ami
google+,roger,robert4,ami
google+,roger,robert5,ami
google+,roger,robert6,ami
google+,roger,frederic,ami
google+,roger,richard,ami
google+,roger,carine,ami
google+,roger,christophe,ami
google+,roger,camille,famille
google+,roger,laurent,famille
google+,roger,isabelle,famille
google+,roger,valerie,famille
google+,roger,gerard,famille
google+,roger,alexandre,famille
google+,roger,olivia,famille
google+,roger,samuel,connaissance
google+,roger,bastien,connaissance
google+,roger,islam,connaissance
google+,roger,mamal,connaissance
google+,roger,renée,connaissance
google+,roger,gilbert,connaissance
google+,roger,jeanjean,connaissance
google+,roger,pedro,connaissance
google+,roger,veronique,connaissance
google+,roger,tyty,connaissance
google+,roger,polymer,suivi
google+,roger,coca,suivi
google+,roger,free,suivi
google+,roger,js,suivi
google+,roger,angularjs,suivi
google+,roger,nodejs,suivi
google+,roger,orange,suivi
google+,roger,opendata,suivi
google+,roger,gazon,suivi
google+,roger,leroy,suivi
google+,roger,pepsi,suivi
google+,roger,totyota,suivi
google+,roger,canal+,suivi
google+,mimi,yanis,ami
google+,mimi,yanos,ami
google+,mimi,yanou,ami
google+,mimi,yenapourtous,ami
google+,mimi,donia,ami
google+,mimi,donut,ami
google+,mimi,sonus,ami
google+,mimi,slardar,ami
google+,mimi,sniper,ami
google+,mimi,mypersonalbusiness,ami
google+,mimi,moustapha,ami
google+,mimi,stephane,ami
